Tissue barcode ,tube number,Box number (as written on the sample bag)
10082525,1,8
10082584,3,8
10083305,5,8
10083335,6,8
10083284,11,8
10082521,15,8
10083145,13,8
10083257,16,8
10083295,17,8
10082576,18,8
10083323,19,8
10083277,2,8
10082551,4,8
10083279,7,8
10083288,8,8
10083348,9,8
10083316,10,8
10083314,12,8
10083278,14,8
10083281,20,8
10083034,21,
10082923,22,
10083119,23,
10082863,24,
10083057,25,
10082968,26,
10082965,27,
10083088,28,
10082953,29,
10082917,30,
10083011,31,
10082914,32,
10082941,33,
10083058,34,
10082173,35,
10083352,36,
10083161,37,
10083128,38,
10083130,39,
10082201,40,
10083158,41,
10082169,42,
10083114,43,
10083168,44,
10082108,45,
10083079,46,
10082074,47,
10082597,48,
10083155,49,
10083152,50,
10083231,51,
10082578,52,
10083092,53,
10083095,54,
10081492,55,
10083241,56,
10083266,57,
10083200,58,
10083265,59,
10082097,60,
10083319,61,
10083351,62,
